Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude,geometry
2017,14/11,14/11/2017,Kedah,Kubang Pasu,Kg. Kangar,"Kg. Kangar, Kubang Pasu, Kedah",1,6.3862448,100.4518121,POINT (100.4518121 6.3862448)
2017,14/11,14/11/2017,Kedah,Kubang Pasu,Kg. Wang Perah,"Kg. Wang Perah, Kubang Pasu, Kedah",1,6.368977,100.4811609,POINT (100.4811609 6.368977)
2017,14/11,14/11/2017,Kedah,Kubang Pasu,Kg. Belukar,"Kg. Belukar, Kubang Pasu, Kedah",1,6.2793125,100.3779871,POINT (100.3779871 6.2793125)
2017,14/11,14/11/2017,Kedah,Kubang Pasu,Kg. Paya Nongmi,"Kg. Paya Nongmi, Kubang Pasu, Kedah",1,6.431738,100.4292348,POINT (100.4292348 6.431738)
2017,14/11,14/11/2017,Kedah,Kubang Pasu,Kg. Telok,"Kg. Telok, Kubang Pasu, Kedah",1,6.2267698,100.4036933,POINT (100.4036933 6.2267698)
2017,14/11,14/11/2017,Kedah,Kubang Pasu,Kg. Kubu,"Kg. Kubu, Kubang Pasu, Kedah",1,6.3162235,100.4411928,POINT (100.4411928 6.3162235)
2017,14/11,14/11/2017,Kedah,Kubang Pasu,Kg. Bata,"Kg. Bata, Kubang Pasu, Kedah",1,6.283477,100.4312637,POINT (100.4312637 6.283477)
2017,14/11,14/11/2017,Kedah,Kubang Pasu,Kg. Manggol,"Kg. Manggol, Kubang Pasu, Kedah",1,6.272136,100.442085,POINT (100.442085 6.272136)
2017,14/11,14/11/2017,Kedah,Padang Terap,Kg. Perik,"Kg. Perik, Padang Terap, Kedah",1,6.3093795,100.5342665,POINT (100.5342665 6.3093795)
2017,16/11,16/11/2017,Kedah,Kota Setar,Kg. Alor Senjaya,"Kg. Alor Senjaya, Kota Setar, Kedah",1,6.1844397,100.3735041,POINT (100.3735041 6.1844397)
2017,28/11,28/11/2017,Kedah,Kota Setar,Kg. Alor Senjaya,"Kg. Alor Senjaya, Kota Setar, Kedah",1,6.1844397,100.3735041,POINT (100.3735041 6.1844397)
